Epoch 1/10
step 1920 | loss 4.1162
step 1940 | loss 4.6903
step 1960 | loss 6.3891
step 1980 | loss 1.0344
step 2000 | loss 0.9589
step 2020 | loss 1.4315
step 2040 | loss 4.6143
step 2060 | loss 3.4029
step 2080 | loss 2.4368
step 2100 | loss 2.4700
step 2120 | loss 1.8286
step 2140 | loss 4.9249
step 2160 | loss 3.2134
step 2180 | loss 1.3194
step 2200 | loss 6.2657
step 2220 | loss 2.2599
step 2240 | loss 5.4981
step 2260 | loss 3.2241
step 2280 | loss 4.9411
step 2300 | loss 3.7583
step 2320 | loss 2.6332
step 2340 | loss 6.2450
step 2360 | loss 1.9873
step 2380 | loss 3.2597
step 2400 | loss 0.8431
step 2420 | loss 4.6650
step 2440 | loss 8.8969
step 2460 | loss 3.8949
step 2480 | loss 1.7291
step 2500 | loss 2.3877
step 2520 | loss 3.9799
step 2540 | loss 3.2138
train loss:    3.8465
val loss:      2.6027
val si-RMSE:   0.6163
saved new best checkpoint

Epoch 3/10
step 0000 | loss 3.9080
step 0020 | loss 3.3142
step 0040 | loss 3.7542
step 0060 | loss 2.8393
step 0080 | loss 1.6044
step 0100 | loss 3.0747
step 0120 | loss 2.5795
step 0140 | loss 1.3754
step 0160 | loss 1.4258
step 0180 | loss 2.2088
step 0200 | loss 3.7708
step 0220 | loss 2.8360
step 0240 | loss 5.6546
step 0260 | loss 2.0034
step 0280 | loss 1.0811
step 0300 | loss 5.5722
step 0320 | loss 5.4533
step 0340 | loss 1.1960
step 0360 | loss 7.2738
step 0380 | loss 6.4950
step 0400 | loss 2.1633
step 0420 | loss 4.5511
step 0440 | loss 4.0207
step 0460 | loss 4.2630
step 0480 | loss 2.9153
step 0500 | loss 5.2892
step 0520 | loss 2.7455
step 0540 | loss 0.9727
step 0560 | loss 3.2706
step 0580 | loss 2.9943
step 0600 | loss 3.0434
step 0620 | loss 1.5708
step 0640 | loss 4.1720
step 0660 | loss 2.8999
step 0680 | loss 0.8766
step 0700 | loss 2.7340
step 0720 | loss 1.9549
step 0740 | loss 2.0451
step 0760 | loss 1.2547
step 0780 | loss 2.4321
step 0800 | loss 5.6274
step 0820 | loss 1.0905
step 0840 | loss 2.6100
step 0860 | loss 4.4118
step 0880 | loss 1.6495
step 0900 | loss 1.8320
step 0920 | loss 1.0648
step 0940 | loss 3.0739
step 0960 | loss 3.2533
step 0980 | loss 0.9255
step 1000 | loss 1.4139
step 1020 | loss 2.3414
step 1040 | loss 2.0286
step 1060 | loss 4.3485
step 1080 | loss 0.5472
step 1100 | loss 6.9989
step 1120 | loss 4.2873
step 1140 | loss 2.4260
step 1160 | loss 2.6647
step 1180 | loss 4.5595
step 1200 | loss 9.2930
step 1220 | loss 4.2609
step 1240 | loss 9.4804
step 1260 | loss 1.0232
step 1280 | loss 1.4090
step 1300 | loss 7.7711
step 1320 | loss 3.2644
step 1340 | loss 3.1159
step 1360 | loss 4.7803
step 1380 | loss 2.7636
step 1400 | loss 1.8199
step 1420 | loss 4.2569
step 1440 | loss 2.3195
step 1460 | loss 1.8502
step 1480 | loss 1.1950
step 1500 | loss 0.9605
step 1520 | loss 2.0985
step 1540 | loss 2.7596
step 1560 | loss 4.3770
step 1580 | loss 0.7740
step 1600 | loss 5.8431
step 1620 | loss 3.4455
step 1640 | loss 2.6016
step 1660 | loss 1.4259
step 1680 | loss 3.5998
step 1700 | loss 2.7572
step 1720 | loss 6.2426
step 1740 | loss 1.9277
step 1760 | loss 1.1241
step 1780 | loss 4.7768
step 1800 | loss 8.1116
step 1820 | loss 7.3713
step 1840 | loss 0.9530
step 1860 | loss 2.5979
step 1880 | loss 1.0556
step 1900 | loss 1.0319
step 1920 | loss 2.4902
step 1940 | loss 2.7645
step 1960 | loss 1.2582
step 1980 | loss 4.2651
step 2000 | loss 1.5736
step 2020 | loss 6.8665
step 2040 | loss 1.3512
step 2060 | loss 2.3913
step 2080 | loss 1.3319
step 2100 | loss 1.5502
step 2120 | loss 3.0138
step 2140 | loss 3.4098
step 2160 | loss 4.4324
step 2180 | loss 7.2077
step 2200 | loss 2.1123
step 2220 | loss 5.2260
step 2240 | loss 0.9309
step 2260 | loss 3.8549
step 2280 | loss 1.5814
step 2300 | loss 2.2116
step 2320 | loss 3.5742
step 2340 | loss 1.3797
